"id","full_name","birth_date","created_at","updated_at","deleted_at","deleted_reason","first_name","last_name","gender","nationality","notes"
"02398325-7fad-4330-988b-34afb8995f26","Test User bfa9aaec","1990-01-01","2026-01-08 21:22:08.573998+00","2026-01-08 21:22:08.573998+00",,,"Test","Userbfa9aaec","masculino","brasileira",
"025420e0-5e9c-41ba-bf95-d39843d7996a","E2E_Invite_1768016454718_C367En","2026-01-10","2026-01-10 03:40:55.26465+00","2026-01-10 03:40:55.26465+00",,,"E2E_Invite_1768016454718_C367En","","feminino","brasileira",
"0259afd5-6bf4-41b0-b7ba-aafc3031836e","E2E_Invite_1768016478947_Wx0Aq","2026-01-10","2026-01-10 03:41:19.549131+00","2026-01-10 03:41:19.549131+00",,,"E2E_Invite_1768016478947_Wx0Aq","","feminino","brasileira",
"02656024-463b-4496-a025-24931b6a6b7a","Test User 1679c0c9","1990-01-01","2026-01-08 22:10:51.473111+00","2026-01-08 22:10:51.473111+00",,,"Test","User1679c0c9","masculino","brasileira",
"029242d2-6488-4035-84dc-1f6007fd6df8","Test User 71eb1c6d","1990-01-01","2026-01-08 22:06:36.144126+00","2026-01-08 22:06:36.144126+00",,,"Test","User71eb1c6d","masculino","brasileira",
"0383029b-22c7-4f28-9785-d453e0dfd4ee","Test User bfe3b7d8","1990-01-01","2026-01-08 22:10:35.4131+00","2026-01-08 22:10:35.4131+00",,,"Test","Userbfe3b7d8","masculino","brasileira",
"03b96998-8258-4b83-9d6e-97df39681013","E2E_Invite_1768016886903_Rwhbkvn","2026-01-10","2026-01-10 03:48:07.482113+00","2026-01-10 03:48:07.482113+00",,,"E2E_Invite_1768016886903_Rwhbkvn","","feminino","brasileira",
"03f0b9e8-44d5-487a-9e3a-4d68f4bbd144","E2E_Invite_1768017465968_A8Wbdn","2026-01-10","2026-01-10 03:57:46.620519+00","2026-01-10 03:57:46.620519+00",,,"E2E_Invite_1768017465968_A8Wbdn","","feminino","brasileira",
"043c1591-1fdf-4998-8a12-79938120714e","Test User 03745ff5","1990-01-01","2026-01-08 21:21:53.757025+00","2026-01-08 21:21:53.757025+00",,,"Test","User03745ff5","masculino","brasileira",
"051f253b-6cc0-4cda-b89e-a7571ab6114b","Smoke Test 2a47d478","2000-01-15","2026-01-01 13:00:11.356005+00","2026-01-07 02:15:07.68678+00","2026-01-07 02:15:07.68678+00","reset_to_production","Smoke","Test 2a47d478","feminino","brasileira",
"06d67096-0120-41c2-93f9-deca93cd3f79","Pendente.Teste.222359","2026-01-07","2026-01-07 01:24:01.102409+00","2026-01-07 02:15:07.68678+00","2026-01-07 02:15:07.68678+00","reset_to_production","Pendente.Teste.222359","","feminino","brasileira",
"0708c058-8718-4497-990d-b8180f412315","Verify.1767959495329","2026-01-09","2026-01-09 11:51:36.99289+00","2026-01-09 11:51:36.99289+00",,,"Verify.1767959495329","","feminino","brasileira",
"07510ec5-aad2-4ec1-b8db-cf42b4d1bd32","Test User 3e1439b2","1990-01-01","2026-01-08 20:54:03.282737+00","2026-01-08 20:54:03.282737+00",,,"Test","User3e1439b2","masculino","brasileira",
"078bfce7-596a-4eed-bddb-9553363f47d6","PessoaCoordenador Teste1767507493","1990-05-15","2026-01-04 06:18:17.33803+00","2026-01-07 02:15:07.68678+00","2026-01-07 02:15:07.68678+00","reset_to_production","PessoaCoordenador","Teste1767507493","masculino","brasileira",
"07d7fcc0-2fb8-46cf-ad99-ed7799a17055","Test User 1ee1a1df","1990-01-01","2026-01-08 20:16:37.184558+00","2026-01-08 20:16:37.184558+00",,,"Test","User1ee1a1df","masculino","brasileira",
"095b7865-6d42-4f7a-8845-15b533b16aa2","Smoke Test 0db00c94","2000-01-15","2026-01-01 13:04:07.057672+00","2026-01-07 02:15:07.68678+00","2026-01-07 02:15:07.68678+00","reset_to_production","Smoke","Test 0db00c94","feminino","brasileira",
"0983033e-3b74-49aa-8ac8-e9e62fb373a8","Handtv.Rj",,"2026-01-06 16:18:15.088434+00","2026-01-07 02:15:07.68678+00","2026-01-07 02:15:07.68678+00","reset_to_production","Handtv.Rj","",,"brasileira",
"0ac9bf8f-89e0-4f58-b212-f1f2e2d3b6ac","Test User 64e51107","1990-01-01","2026-01-08 20:16:27.032551+00","2026-01-08 20:16:27.032551+00",,,"Test","User64e51107","masculino","brasileira",
"0b2072ba-3f44-4f9c-a261-36e01d17338e","E2E_Invite_1768016780837_K0C0K","2026-01-10","2026-01-10 03:46:21.531454+00","2026-01-10 03:46:21.531454+00",,,"E2E_Invite_1768016780837_K0C0K","","feminino","brasileira",
"0bf72e53-75a7-4445-8dd4-5b37ede589eb","Tasfa","2026-01-07","2026-01-07 01:44:38.46025+00","2026-01-07 02:15:07.68678+00","2026-01-07 02:15:07.68678+00","reset_to_production","Tasfa","","feminino","brasileira",
"0c9b5b9d-d829-4a61-aa75-c148a360eb03","Test User f2cdcbdd","1990-01-01","2026-01-08 21:13:05.841391+00","2026-01-08 21:13:05.841391+00",,,"Test","Userf2cdcbdd","masculino","brasileira",
"0cf00f21-3904-4717-bc06-828bdadadd70","E2E_Invite_1768017017109_Fj41D8","2026-01-10","2026-01-10 03:50:17.727666+00","2026-01-10 03:50:17.727666+00",,,"E2E_Invite_1768017017109_Fj41D8","","feminino","brasileira",
"0ebcd2ce-56f1-44f9-8c6e-52a93cadf89d","Test User 7af68836","1990-01-01","2026-01-08 21:18:47.662312+00","2026-01-08 21:18:47.662312+00",,,"Test","User7af68836","masculino","brasileira",
"100e3b90-f158-4250-9513-c33e0f266a79","Test User 56156c6b","1990-01-01","2026-01-08 20:54:07.818605+00","2026-01-08 20:54:07.818605+00",,,"Test","User56156c6b","masculino","brasileira",
"10356d81-3689-4f2b-963e-ad7d1cb834a8","Test User d474b47a","1990-01-01","2026-01-08 21:27:32.435874+00","2026-01-08 21:27:32.435874+00",,,"Test","Userd474b47a","masculino","brasileira",
"10d6fe92-2b35-4dd2-8233-bd95412f84b0","Test User ae61701f","1990-01-01","2026-01-08 23:12:54.074936+00","2026-01-08 23:12:54.074936+00",,,"Test","Userae61701f","masculino","brasileira",
"10fd2ce1-cbbd-4cd0-8529-61680703e905","Test User 8bcbf838","1990-01-01","2026-01-08 19:57:24.272816+00","2026-01-08 19:57:24.272816+00",,,"Test","User8bcbf838","masculino","brasileira",
"1149fa77-c0d1-4b01-97b8-26a27237a442","Test User 50e8bfe7","1990-01-01","2026-01-08 22:10:42.12512+00","2026-01-08 22:10:42.12512+00",,,"Test","User50e8bfe7","masculino","brasileira",
"116465e6-a6a4-479d-a0f4-1d6d407fa8e9","Test User 36304016","1990-01-01","2026-01-08 22:00:16.144798+00","2026-01-08 22:00:16.144798+00",,,"Test","User36304016","masculino","brasileira",
"130cb405-ee0a-47d7-84d8-19119d6b4879","Test User bc8ae03a","1990-01-01","2026-01-08 21:27:19.071978+00","2026-01-08 21:27:19.071978+00",,,"Test","Userbc8ae03a","masculino","brasileira",
"135165fa-5b5a-4cc9-aea7-dd220d4028f2","E2E_Invite_1768017307362_Do04F8","2026-01-10","2026-01-10 03:55:08.040858+00","2026-01-10 03:55:08.040858+00",,,"E2E_Invite_1768017307362_Do04F8","","feminino","brasileira",
"150c1e33-a6c4-41c0-ae35-57cf3536ba1c","Test User f794327b","1990-01-01","2026-01-08 22:45:49.773287+00","2026-01-08 22:45:49.773287+00",,,"Test","Userf794327b","masculino","brasileira",
"154ec31b-42f6-458b-9d7c-feda02385c04","Test User 591d89aa","1990-01-01","2026-01-08 19:59:18.39263+00","2026-01-08 19:59:18.39263+00",,,"Test","User591d89aa","masculino","brasileira",
"1552cb5d-e528-4003-906d-31ca816d81ae","Test User 923181c0","1990-01-01","2026-01-08 21:27:46.652016+00","2026-01-08 21:27:46.652016+00",,,"Test","User923181c0","masculino","brasileira",
"15908242-2763-496c-9b00-96329feaa37f","E2E_Invite_1768015865689_Ew1Aie","2026-01-10","2026-01-10 03:31:06.28284+00","2026-01-10 03:31:06.28284+00",,,"E2E_Invite_1768015865689_Ew1Aie","","feminino","brasileira",
"15a9d588-eee7-4897-ac7f-c7a869b9d71f","Stats.Test.1767938459983","2026-01-09","2026-01-09 06:01:00.222547+00","2026-01-09 06:01:00.222547+00",,,"Stats.Test.1767938459983","","feminino","brasileira",
"15cd67f9-0e2f-4797-80bf-d42f8e5d6337","Test User 735a7b5e","1990-01-01","2026-01-08 23:42:47.902059+00","2026-01-08 23:42:47.902059+00",,,"Test","User735a7b5e","masculino","brasileira",
"16078d1f-6708-4b31-b563-9c6e39449dde","Test User 0c2f793d","1990-01-01","2026-01-08 23:13:26.77821+00","2026-01-08 23:13:26.77821+00",,,"Test","User0c2f793d","masculino","brasileira",
"167b1550-ac88-4ebc-b90e-383f89dbd99f","Test User 900dc0d0","1990-01-01","2026-01-08 21:32:23.442743+00","2026-01-08 21:32:23.442743+00",,,"Test","User900dc0d0","masculino","brasileira",
"16d929bd-20c7-40ee-b6c2-5eb184d062cd","Test User 351a0d6b","1990-01-01","2026-01-08 21:30:04.259945+00","2026-01-08 21:30:04.259945+00",,,"Test","User351a0d6b","masculino","brasileira",
"17006490-1dd4-4604-bb0a-94c11f408725","Test User 9caf108b","1990-01-01","2026-01-08 21:24:03.250548+00","2026-01-08 21:24:03.250548+00",,,"Test","User9caf108b","masculino","brasileira",
"180dda20-bfe1-4371-81d6-61a81e8529c9","E2E_Invite_1768015840886_5Uchgo","2026-01-10","2026-01-10 03:30:41.619188+00","2026-01-10 03:30:41.619188+00",,,"E2E_Invite_1768015840886_5Uchgo","","feminino","brasileira",
"18b4cda1-bcab-43e9-9901-7c0e9045c816","Test User bea221f0","1990-01-01","2026-01-08 19:59:41.060626+00","2026-01-08 19:59:41.060626+00",,,"Test","Userbea221f0","masculino","brasileira",
"18cf9d02-1368-4fb6-aced-b30c15db35e5","Mariae413e6da Santos","1995-03-20","2026-01-03 04:47:47.574951+00","2026-01-07 02:15:07.68678+00","2026-01-07 02:15:07.68678+00","reset_to_production","Mariae413e6da","Santos","feminino","brasileira",
"1a5ce279-906e-436a-9d2c-31444d8657b0","Test User 73fb4015","1990-01-01","2026-01-08 21:31:38.053851+00","2026-01-08 21:31:38.053851+00",,,"Test","User73fb4015","masculino","brasileira",
"1abb2121-ed2b-40fc-a42d-1472e5961be7","Test User eeffd17b","1990-01-01","2026-01-08 21:12:33.89554+00","2026-01-08 21:12:33.89554+00",,,"Test","Usereeffd17b","masculino","brasileira",
"1b097c69-bf3e-4e6b-b76c-a700f7a02d85","E2E_Invite_1768015830490_44H2Ui","2026-01-10","2026-01-10 03:30:32.075682+00","2026-01-10 03:30:32.075682+00",,,"E2E_Invite_1768015830490_44H2Ui","","feminino","brasileira",
"1b6f162f-3cf0-4fa6-928c-222a7759f0f0","Test User 27b943f9","1990-01-01","2026-01-08 22:06:38.543866+00","2026-01-08 22:06:38.543866+00",,,"Test","User27b943f9","masculino","brasileira",
"1ba98861-c406-4099-a46e-96dca91bc347","Test User 8f80ea0f","1990-01-01","2026-01-08 20:54:10.074605+00","2026-01-08 20:54:10.074605+00",,,"Test","User8f80ea0f","masculino","brasileira",
"1be10c4f-8f4d-4d65-ac51-48bde2d706e7","Stats.Test.1767934966591","2026-01-09","2026-01-09 05:02:46.688819+00","2026-01-09 05:02:46.688819+00",,,"Stats.Test.1767934966591","","feminino","brasileira",
"1c2db6d8-411b-495f-92f2-c3827b6b5904","Test User f67844d4","1990-01-01","2026-01-08 20:16:50.788544+00","2026-01-08 20:16:50.788544+00",,,"Test","Userf67844d4","masculino","brasileira",
"1c31c8fc-4164-46b2-961a-5ca077cba356","Smoke Test 23b38ecf","2000-01-15","2026-01-01 13:07:44.650215+00","2026-01-07 02:15:07.68678+00","2026-01-07 02:15:07.68678+00","reset_to_production","Smoke","Test 23b38ecf","feminino","brasileira",
"1cb11102-55d8-4196-beb3-a4b1b6c166e8","Test User 3be382e1","1990-01-01","2026-01-08 23:43:07.833024+00","2026-01-08 23:43:07.833024+00",,,"Test","User3be382e1","masculino","brasileira",
"1cf20985-b246-4de5-903e-f10c2fd37402","Pendente.Teste.221535","2026-01-07","2026-01-07 01:15:42.795482+00","2026-01-07 02:15:07.68678+00","2026-01-07 02:15:07.68678+00","reset_to_production","Pendente.Teste.221535","","feminino","brasileira",
"1da23202-40f3-4690-aaed-30f7e20e678c","Test User 99c18d2d","1990-01-01","2026-01-08 21:08:32.173675+00","2026-01-08 21:08:32.173675+00",,,"Test","User99c18d2d","masculino","brasileira",
"1de2694d-d520-47d4-92b7-f3c4e49abeda","Test User ea86930f","1990-01-01","2026-01-08 21:27:25.043838+00","2026-01-08 21:27:25.043838+00",,,"Test","Userea86930f","masculino","brasileira",
"1e241d15-f911-49a1-985f-385d92f0ed9f","Test User eabba093","1990-01-01","2026-01-08 22:06:12.855324+00","2026-01-08 22:06:12.855324+00",,,"Test","Usereabba093","masculino","brasileira",
"1ea1f1d3-b3e2-49f7-af3a-29f03a9731a9","Test User eca68f63","1990-01-01","2026-01-08 19:57:06.316894+00","2026-01-08 19:57:06.316894+00",,,"Test","Usereca68f63","masculino","brasileira",
